Ticker,Name,CIK,SIK,Formally
OPY,OPPENHEIMER HOLDINGS INC,0000791963,6211,FAHNESTOCK VINER HOLDINGS INC (filings through 2003-08-12) 
PKZ,Unlocated,Unlocated,Unlocated,Unlocated
PNK,"Pinnacle Entertainment, Inc.",0001656239,7011,"PNK Entertainment, Inc. (filings through 2016-04-28) "
RCF,Unlocated,Unlocated,Unlocated,Unlocated
SIG,SIGNET JEWELERS LTD,0000832988,5944,SIGNET GROUP PLC (filings through 2008-09-11) 
SIX,Six Flags Entertainment Corp,0000701374,7990,PREMIER PARKS INC (filings through 2000-03-10) 
SIX,Six Flags Entertainment Corp,0000701374,7990,SIX FLAGS INC (filings through 2007-03-16) 
SIX,Six Flags Entertainment Corp,0000701374,7990,"SIX FLAGS, INC. (filings through 2010-05-11) "
SIX,Six Flags Entertainment Corp,0000701374,7990,TIERCO GROUP INC/DE/ (filings through 1994-02-02) 
SLGK,Unlocated,Unlocated,Unlocated,Unlocated
STRL,STERLING CONSTRUCTION CO INC,0000874238,1600,OAKHURST CAPITAL INC (filings through 1995-02-10) 
STRL,STERLING CONSTRUCTION CO INC,0000874238,1600,OAKHURST CO INC (filings through 2002-01-29) 
STZ,"CONSTELLATION BRANDS, INC.",0000016918,2080,CANANDAIGUA BRANDS INC (filings through 2000-01-14) 
STZ,"CONSTELLATION BRANDS, INC.",0000016918,2080,CANANDAIGUA WINE CO INC (filings through 1997-01-31) 
STZ,"CONSTELLATION BRANDS, INC.",0000016918,2080,CONSTELLATION BRANDS INC (filings through 2004-05-05) 
TGBR,Unlocated,Unlocated,Unlocated,Unlocated
TNR,Unlocated,Unlocated,Unlocated,Unlocated
TRV,"TRAVELERS COMPANIES, INC.",0000086312,6331,ST PAUL COMPANIES INC /MN/ (filings through 2004-03-31) 
TRV,"TRAVELERS COMPANIES, INC.",0000086312,6331,ST PAUL FIRE & MARINE INSURANCE CO/MD (filings through 1999-02-19) 
TRV,"TRAVELERS COMPANIES, INC.",0000086312,6331,ST PAUL TRAVELERS COMPANIES INC (filings through 2007-02-23) 
TURN,180 DEGREE CAPITAL CORP. /NY/,0000893739,6799,HARRIS & HARRIS GROUP INC /NY/ (filings through 2017-03-24) 
UB,MUFG Americas Holdings Corp,0001011659,6021,UNIONBANCAL CORP (filings through 2014-07-01) 
VDC,Unlocated,Unlocated,Unlocated,Unlocated
VXRT,"Vaxart, Inc.",0000072444,2836,"Aviragen Therapeutics, Inc. (filings through 2018-02-15) "
VXRT,"Vaxart, Inc.",0000072444,2836,"Biota Pharmaceuticals, Inc. (filings through 2016-04-13) "
VXRT,"Vaxart, Inc.",0000072444,2836,NABI  BIOPHARMACEUTICALS (filings through 2010-06-29) 
VXRT,"Vaxart, Inc.",0000072444,2836,NABI /DE/ (filings through 2002-02-14) 
VXRT,"Vaxart, Inc.",0000072444,2836,NABI BIOPHARMACEUTICALS (filings through 2012-11-08) 
VXRT,"Vaxart, Inc.",0000072444,2836,NORTH AMERICAN BIOLOGICALS INC (filings through 1996-02-14) 
WNG,WASHINGTON GROUP INTERNATIONAL INC,0000906469,8711,MORRISON KNUDSEN CORP// (filings through 2000-07-17) 
WNG,WASHINGTON GROUP INTERNATIONAL INC,0000906469,8711,WASHINGTON CONSTRUCTION GROUP INC (filings through 1996-05-20) 
